Year,Faculty Rank,Inf-Adj Salary
1999,Full,118499.15
2000,Full,120336.19
2001,Full,122184.96
2002,Full,124735.33
2003,Full,127045.88
2004,Full,135908.77
2005,Full,136785.54
2006,Full,137334.51
2007,Full,139887.02
2008,Full,134946.54
2009,Full,135710.35
2010,Full,132801.05
2011,Full,133124.42
2012,Full,135365.06
2013,Full,138430.60
2014,Full,140476.20
2015,Full,140171.30
2016,Full,139827.47
2017,Full,137673.52
2018,Full,137488.17
2019,Full,137672.80
2020,Full,134729.29
1999,Associate,84106.44
2000,Associate,86407.47
2001,Associate,87548.52
2002,Associate,91073.16
2003,Associate,94992.48
2004,Associate,105092.97
2005,Associate,102905.57
2006,Associate,102225.14
2007,Associate,106370.36
2008,Associate,102143.64
2009,Associate,98883.78
2010,Associate,97786.32
2011,Associate,99181.72
2012,Associate,100768.22
2013,Associate,102212.00
2014,Associate,103744.68
2015,Associate,106356.43
2016,Associate,108464.04
2017,Associate,104273.29
2018,Associate,101035.40
2019,Associate,102242.30
2020,Associate,98242.92
1999,Assistant,68567.89
2000,Assistant,68847.92
2001,Assistant,71244.72
2002,Assistant,71824.90
2003,Assistant,77614.45
2004,Assistant,84679.73
2005,Assistant,80994.38
2006,Assistant,76297.52
2007,Assistant,83860.32
2008,Assistant,75018.25
2009,Assistant,71979.86
2010,Assistant,72093.49
2011,Assistant,77205.26
2012,Assistant,78223.35
2013,Assistant,81658.50
2014,Assistant,80131.56
2015,Assistant,82091.10
2016,Assistant,78909.99
2017,Assistant,79024.61
2018,Assistant,75825.51
2019,Assistant,84020.90
2020,Assistant,79876.90
