Year,Avg-Inf-Adj-Salary_All_Professors ,Avg-Inf-Adj-Tuition/Fees
1999,95737.44,34530.92
2000,98314.24,34709.53
2001,96441.50,35085.71
2002,98782.25,35865.25
2003,101582.40,36433.65
2004,113327.87,37227.52
2005,113029.54,37989.43
2006,113745.96,38762.60
2007,118542.80,39686.30
2008,113222.19,40244.37
2009,114616.44,42372.54
2010,112913.36,43539.11
2011,112873.86,44741.57
2012,112617.27,46002.15
2013,117099.40,47604.46
2014,116644.44,49608.28
2015,118718.96,51284.58
2016,114707.40,52166.15
2017,113941.11,52738.87
2018,110116.90,53025.40
2019,105279.20,53171.98
2020,102411.45,55000.00
